image_id,classe
350000.jpg,2
350001.jpg,2
350002.jpg,2
350003.jpg,3
350004.jpg,2
350005.jpg,2
350006.jpg,2
350007.jpg,2
350008.jpg,2
350009.jpg,2
350010.jpg,2
350011.jpg,2
350012.jpg,2
350013.jpg,2
350014.jpg,2
350015.jpg,2
350016.jpg,2
350017.jpg,2
350018.jpg,2
350019.jpg,2
350020.jpg,2
350021.jpg,2
350022.jpg,2
350023.jpg,2
350024.jpg,2
350025.jpg,2
350026.jpg,2
350027.jpg,2
350028.jpg,2
350029.jpg,2
350030.jpg,2
350031.jpg,2
350032.jpg,2
350033.jpg,2
350034.jpg,2
350035.jpg,2
350036.jpg,2
350037.jpg,2
350038.jpg,2
350039.jpg,2
350040.jpg,2
350041.jpg,2
350042.jpg,2
350043.jpg,2
350044.jpg,2
350045.jpg,2
350046.jpg,2
350047.jpg,2
350048.jpg,4
350049.jpg,2
350050.jpg,2
350051.jpg,2
350052.jpg,2
350053.jpg,2
350054.jpg,2
350055.jpg,2
350056.jpg,2
350057.jpg,4
350058.jpg,2
350059.jpg,4
350060.jpg,2
350061.jpg,2
350062.jpg,4
350063.jpg,2
350064.jpg,4
350065.jpg,3
350066.jpg,2
350067.jpg,3
350068.jpg,2
350069.jpg,2
350070.jpg,2
350071.jpg,2
350072.jpg,2
350073.jpg,2
350074.jpg,2
350075.jpg,2
350076.jpg,2
350077.jpg,2
350078.jpg,2
350079.jpg,2
350080.jpg,2
350081.jpg,2
350082.jpg,2
350083.jpg,2
350084.jpg,2
350085.jpg,2
350086.jpg,2
350087.jpg,2
350088.jpg,2
350089.jpg,2
350090.jpg,3
350091.jpg,2
350092.jpg,2
350093.jpg,2
350094.jpg,2
350095.jpg,2
350096.jpg,2
350097.jpg,2
350098.jpg,2
350099.jpg,2
425000.jpg,1
425001.jpg,1
425002.jpg,1
425003.jpg,1
425004.jpg,1
425005.jpg,1
425006.jpg,1
425007.jpg,1
425008.jpg,1
425009.jpg,1
425010.jpg,1
425011.jpg,1
425012.jpg,1
425013.jpg,1
425014.jpg,1
425015.jpg,1
425016.jpg,1
425017.jpg,1
425018.jpg,1
425019.jpg,1
425020.jpg,1
425021.jpg,1
425022.jpg,1
425023.jpg,1
425024.jpg,1
425025.jpg,1
425026.jpg,1
425027.jpg,2
425028.jpg,2
425029.jpg,3
425030.jpg,2
425031.jpg,3
425032.jpg,1
425033.jpg,1
425034.jpg,2
425035.jpg,2
425036.jpg,2
425037.jpg,2
425038.jpg,3
425039.jpg,4
425040.jpg,1
425041.jpg,1
425042.jpg,1
425043.jpg,1
425044.jpg,1
425045.jpg,1
425046.jpg,1
425047.jpg,1
425048.jpg,1
425049.jpg,1
425050.jpg,1
425051.jpg,1
425052.jpg,1
425053.jpg,1
425054.jpg,1
425055.jpg,1
425056.jpg,1
425057.jpg,1
425058.jpg,1
425059.jpg,1
425060.jpg,3
425061.jpg,1
425062.jpg,1
425063.jpg,1
425064.jpg,1
425065.jpg,1
425066.jpg,1
425067.jpg,1
425068.jpg,1
425069.jpg,1
425070.jpg,1
425071.jpg,1
425072.jpg,1
425073.jpg,1
425074.jpg,1
425075.jpg,1
425076.jpg,1
425077.jpg,1
425078.jpg,1
425079.jpg,2
425080.jpg,3
425081.jpg,1
425082.jpg,1
425083.jpg,1
425084.jpg,1
425085.jpg,1
425086.jpg,1
425087.jpg,1
425088.jpg,1
425089.jpg,1
425090.jpg,1
425091.jpg,1
425092.jpg,1
425093.jpg,1
425094.jpg,1
425095.jpg,1
425096.jpg,1
425097.jpg,1
425098.jpg,1
425099.jpg,1
581000.jpg,3
581001.jpg,3
581002.jpg,3
581003.jpg,3
581004.jpg,3
581005.jpg,3
581006.jpg,3
581007.jpg,3
581008.jpg,3
581009.jpg,3
581010.jpg,3
581011.jpg,3
581012.jpg,3
581013.jpg,3
581014.jpg,3
581015.jpg,3
581016.jpg,3
581017.jpg,3
581018.jpg,3
581019.jpg,2
581020.jpg,3
581021.jpg,3
581022.jpg,3
581023.jpg,3
581024.jpg,3
581025.jpg,3
581026.jpg,3
581027.jpg,3
581028.jpg,3
581029.jpg,3
581030.jpg,3
581031.jpg,3
581032.jpg,2
581033.jpg,3
581034.jpg,3
581035.jpg,3
581036.jpg,3
581037.jpg,2
581038.jpg,2
581039.jpg,3
581040.jpg,3
581041.jpg,3
581042.jpg,3
581043.jpg,2
581044.jpg,3
581045.jpg,3
581046.jpg,3
581047.jpg,2
581048.jpg,3
581049.jpg,2
581050.jpg,3
581051.jpg,3
581052.jpg,3
581053.jpg,2
581054.jpg,3
581055.jpg,3
581056.jpg,3
581057.jpg,2
581058.jpg,3
581059.jpg,3
581060.jpg,3
581061.jpg,2
581062.jpg,3
581063.jpg,2
581064.jpg,3
581065.jpg,2
581066.jpg,3
581067.jpg,3
581068.jpg,3
581069.jpg,3
581070.jpg,3
581071.jpg,3
581072.jpg,3
581073.jpg,3
581074.jpg,3
581075.jpg,3
581076.jpg,3
581077.jpg,3
581078.jpg,2
581079.jpg,2
581080.jpg,3
581081.jpg,3
581082.jpg,3
581083.jpg,3
581084.jpg,3
581085.jpg,3
581086.jpg,3
581087.jpg,3
581088.jpg,3
581089.jpg,2
581090.jpg,3
581091.jpg,3
581092.jpg,3
581093.jpg,3
581094.jpg,2
581095.jpg,3
581096.jpg,3
581097.jpg,3
581098.jpg,3
581099.jpg,3
655000.jpg,4
655001.jpg,4
655002.jpg,4
655003.jpg,4
655004.jpg,4
655005.jpg,4
655006.jpg,4
655007.jpg,4
655008.jpg,4
655009.jpg,4
655010.jpg,4
655011.jpg,4
655012.jpg,4
655013.jpg,4
655014.jpg,4
655015.jpg,4
655016.jpg,4
655017.jpg,4
655018.jpg,4
655019.jpg,4
655020.jpg,4
655021.jpg,4
655022.jpg,4
655023.jpg,4
655024.jpg,4
655025.jpg,4
655026.jpg,4
655027.jpg,4
655028.jpg,4
655029.jpg,4
655030.jpg,4
655031.jpg,4
655032.jpg,4
655033.jpg,4
655034.jpg,4
655035.jpg,4
655036.jpg,4
655037.jpg,4
655038.jpg,4
655039.jpg,4
655040.jpg,4
655041.jpg,4
655042.jpg,4
655043.jpg,4
655044.jpg,4
655045.jpg,4
655046.jpg,4
655047.jpg,4
